Function,R2 Score,time
I.12.1,0.9900097846984863,5.863898199982941
I.12.4,0.9671637415885925,15.970816500019282
I.12.5,0.9903677701950073,3.1621360999997705
I.14.3,0.9896868467330933,16.053567599970847
I.14.4,0.8762763738632202,12.562570599955507
I.18.12,0.770182192325592,16.04923750006128
I.25.13,0.9901340007781982,4.111141399946064
I.26.2,0.9837404489517212,12.530643200036138
I.27.6,0.9900408983230591,14.63699709996581
I.30.5,0.9901480674743652,1.3975421999348328
I.43.16,0.7031283378601074,19.227180500049144
I.47.23,0.9900476932525635,6.683721899986267
II.10.9,0.990149199962616,4.10017989994958
II.11.17,0.8131552338600159,26.039327699923888
II.15.4,0.9667896628379822,16.05466330004856
II.15.5,0.9754303693771362,15.907820699969307
II.2.42,0.8307281732559204,22.72175230004359
II.27.16,0.9900335073471069,6.832055900013074
II.27.18,0.981625497341156,12.51567920006346
II.3.24,0.9900784492492676,11.932150400010869
II.34.11,0.9874364733695984,19.242256100056693
II.34.29b,0.9728624820709229,22.616019899956882
II.38.14,0.9900076985359192,6.187512500095181
II.38.3,0.978369951248169,19.297009599977173
II.4.23,0.9275116324424744,16.0853753000265
II.8.31,0.9901485443115234,4.000321800005622
III.12.43,0.8588535189628601,12.51118619996123
III.15.27,0.9900243878364563,3.9290023000212386
III.7.38,0.9900506138801575,7.1895748999668285
