Function,R2 Score,time
I.12.1,0.9902050495147705,1.5340503999614157
I.12.4,0.9901521801948547,1.23450680001406
I.12.5,0.9900562763214111,0.9509111000224948
I.14.3,0.9901056289672852,1.1493969999719411
I.14.4,0.9900522828102112,0.466996899980586
I.18.12,0.8535269498825073,5.440001100010704
I.25.13,0.9901923537254333,0.632980199996382
I.26.2,0.9901441931724548,2.9111866999883205
I.27.6,0.9900208115577698,1.6679038000293076
I.30.5,0.9902152419090271,0.7288594999699853
I.43.16,0.9900516271591187,1.0406724999775179
I.47.23,0.9901553392410278,0.9389406999689527
II.10.9,0.990143358707428,0.8800161000108346
II.11.17,0.8158391714096069,5.5247233000118285
II.15.4,0.9900530576705933,2.410975699953269
II.15.5,0.9900111556053162,2.6998510000412352
II.2.42,0.9901118874549866,3.0624123999732547
II.27.16,0.990376353263855,0.8121327999979258
II.27.18,0.9900678992271423,0.7491780999698676
II.3.24,0.9906337261199951,0.5221207999857143
II.34.11,0.9902250170707703,0.6414626999758184
II.34.29b,0.9900506138801575,1.7381851999671198
II.38.14,0.9901130199432373,0.5412196999532171
II.38.3,0.9905005097389221,1.1634975000051782
II.4.23,0.9900280833244324,0.41056280001066625
II.8.31,0.9902204275131226,0.3673397999955341
III.12.43,0.9903103113174438,0.5855210999725387
III.15.27,0.9901496767997742,1.7927583999698982
III.7.38,0.9900228381156921,1.0409764000214636
