Function,R2 Score,time
I.12.1,0.9900522232055664,0.8502528000390157
I.12.4,0.990029513835907,1.846728200034704
I.12.5,0.9902899861335754,0.2134451000019908
I.14.3,0.9900339245796204,0.3612581000197679
I.14.4,0.9900224804878235,0.35786129999905825
I.18.12,0.9597512483596802,2.82530789996963
I.25.13,0.9900674819946289,0.361352700041607
I.26.2,0.9900820255279541,0.44219700002577156
I.27.6,0.9901238679885864,0.8406068999902345
I.30.5,0.9901599884033203,0.2933144000126049
I.43.16,0.9901028871536255,1.3771527000353672
I.47.23,0.990011990070343,0.2161243000300601
II.10.9,0.9900162816047668,0.275882400048431
II.11.17,0.9164601564407349,2.805571799981408
II.15.4,0.990111768245697,0.8141811999958009
II.15.5,0.9900122284889221,0.7901895999675617
II.2.42,0.9888638854026794,2.9209159999736585
II.27.16,0.9900562167167664,1.6520789000205696
II.27.18,0.9903320074081421,0.23156980000203475
II.3.24,0.9902846217155457,0.17680810001911595
II.34.11,0.9900193810462952,1.6386464000097476
II.34.29b,0.9900526404380798,1.9911397999967448
II.38.14,0.9901366829872131,0.1739923999994062
II.38.3,0.9900259375572205,1.8685193000128493
II.4.23,0.9900431036949158,2.6747313999803737
II.8.31,0.9901118874549866,0.31872580002527684
III.12.43,0.9901166558265686,0.1399490000330843
III.15.27,0.9901458024978638,0.6466283000190742
III.7.38,0.9901400804519653,0.8779443000094034
