Layers,Nodes,Function,train MSE,test MSE
1,256,x,3.562283978908454e-08,3.554733041255531e-08
1,256,x**2,0.0004089802678208798,0.00025056523736566305
1,256,x**3,0.10608121752738953,0.0524069219827652
1,256,x**4,16.09893035888672,8.061929702758789
1,256,x**5,300.7618713378906,91.97252655029297
1,256,1/x,4777.38330078125,8891.478515625
1,256,1/x**2,8352157696.0,14631428096.0
1,256,1/x**3,84942960721920.0,54650833207296.0
1,256,1/x**4,74680572575744.0,59168367050752.0
1,256,1/x**5,1747667289899008.0,130480183705600.0
1,256,sin(x),8.241042087320238e-05,6.36299082543701e-05
1,256,cos(x),0.00031932623824104667,0.00021948505309410393
1,256,sin(2x),0.007917331531643867,0.00873738992959261
1,256,cos(2x),0.009197315201163292,0.004035210702568293
1,256,sin(x**2),0.08415483683347702,0.12849627435207367
1,256,cos(x**2),0.08467380702495575,0.07328880578279495
1,256,tan(x),656.645751953125,70.1432113647461
1,256,exp(x),0.01779777556657791,0.010468440130352974
1,256,sqrt(x),0.004251680802553892,0.003966811113059521
1,256,log(x),0.24530181288719177,0.23916538059711456
1,256,exp(-x**2),0.00016095656610559672,0.00017241969180759043
2,256,x,5.934576847721473e-07,6.429625614146062e-07
2,256,x**2,0.00045260845217853785,0.0004055463068652898
2,256,x**3,0.000710680556949228,0.000600137747824192
2,256,x**4,0.01492417324334383,0.018882017582654953
2,256,x**5,0.12290610373020172,0.105411596596241
2,256,1/x,4457.759765625,10007.8154296875
2,256,1/x**2,7997440000.0,13772103680.0
2,256,1/x**3,84267258347520.0,53810533761024.0
2,256,1/x**4,70113097154560.0,55780078256128.0
2,256,1/x**5,1744984411734016.0,129709161578496.0
2,256,sin(x),6.022871730237966e-06,5.619797320832731e-06
2,256,cos(x),1.3535411653720075e-06,2.045223936875118e-06
2,256,sin(2x),0.00014548814215231687,0.00012816712842322886
2,256,cos(2x),2.4656052119098604e-05,2.095776653732173e-05
2,256,sin(x**2),0.002360865706577897,0.003067926736548543
2,256,cos(x**2),0.0026392447762191296,0.0047008381225168705
2,256,tan(x),610.1614990234375,62.87822723388672
2,256,exp(x),0.0018243490485474467,0.0012317124055698514
2,256,sqrt(x),0.0001349891972495243,0.0001303537137573585
2,256,log(x),0.02818424254655838,0.03948516026139259
2,256,exp(-x**2),3.2020778917285497e-07,4.003899221061147e-07
3,256,x,4.886122769676149e-05,5.4945739975664765e-05
3,256,x**2,0.004000172019004822,0.005019112955778837
3,256,x**3,0.011883589439094067,0.01182105764746666
3,256,x**4,0.0011433152249082923,0.0011482782429084182
3,256,x**5,0.2937617301940918,0.15339916944503784
3,256,1/x,4724.56591796875,8796.65234375
3,256,1/x**2,4096185344.0,4432033280.0
3,256,1/x**3,74808096194560.0,40261203787776.0
3,256,1/x**4,21492672757760.0,13307135131648.0
3,256,1/x**5,1677439071682560.0,115684415635456.0
3,256,sin(x),1.3509189784599585e-06,1.2681089174293447e-06
3,256,cos(x),2.98164491141506e-06,2.7225148642173735e-06
3,256,sin(2x),0.00010217263479717076,0.00011575112148420885
3,256,cos(2x),6.9708780756627675e-06,1.215552674693754e-05
3,256,sin(x**2),1.9458888345980085e-05,4.6578174078604206e-05
3,256,cos(x**2),0.0003454268735367805,0.00047011568676680326
3,256,tan(x),530.0853271484375,47.07749938964844
3,256,exp(x),0.00031123848748393357,0.00040746116428636014
3,256,sqrt(x),2.667799526534509e-05,3.1467207008972764e-05
3,256,log(x),0.006195710506290197,0.011306170374155045
3,256,exp(-x**2),5.965582516864743e-08,5.621633292207662e-08
4,256,x,1.7417940398445353e-05,2.0583940568030812e-05
4,256,x**2,0.00018676076433621347,0.00023504134151153266
4,256,x**3,0.0016013310523703694,0.0013382763136178255
4,256,x**4,0.042294230312108994,0.024196039885282516
4,256,x**5,0.30046892166137695,0.4653843343257904
4,256,1/x,4759.2294921875,8724.3486328125
4,256,1/x**2,2915210752.0,1925828480.0
4,256,1/x**3,36169542795264.0,31795288064.0
4,256,1/x**4,236600573952.0,178662752256.0
4,256,1/x**5,1575278711144448.0,47034186858496.0
4,256,sin(x),8.275256732304115e-06,6.149136879685102e-06
4,256,cos(x),9.459506145503838e-06,9.23226798477117e-06
4,256,sin(2x),6.870421930216253e-05,8.920675463741645e-05
4,256,cos(2x),4.0631853153172415e-06,2.276649183841073e-06
4,256,sin(x**2),8.452793554170057e-05,0.00013133272295817733
4,256,cos(x**2),0.0008358169579878449,0.0007137908251024783
4,256,tan(x),580.8933715820312,62.015602111816406
4,256,exp(x),0.007379031274467707,0.009338741190731525
4,256,sqrt(x),3.0003022402524948e-05,3.1289739126805216e-05
4,256,log(x),0.005439037922769785,0.010351560078561306
4,256,exp(-x**2),2.1782912540402322e-07,2.196262585130171e-07
