Layers,Nodes,Function,train MSE,test MSE,R2 Score (Test),R2 Score (Train),time,Level
1,2,I.10.7,0.0002801457594614476,0.0005411271704360843,0.9950701594352722,0.997700572013855,10.0128019,Medium
1,2,I.11.19,0.06807704269886017,0.08120235800743103,0.746204137802124,0.8068907260894775,9.282625100000018,Medium
1,2,I.12.11,0.020840974524617195,0.02103729546070099,0.8303328156471252,0.8393206000328064,9.218905199999995,Medium
1,2,I.12.1,9.849813068285584e-05,8.43227535369806e-05,0.9991828799247742,0.9991357922554016,3.361479300000042,Easy
1,2,I.12.2,0.00020503150881268084,0.0002031423500739038,0.8154193162918091,0.8363217115402222,9.174590799999976,Medium
1,2,I.12.4,0.00010536913032410666,0.00011087964230682701,0.9660156965255737,0.9708791375160217,9.15276,Easy
1,2,I.12.5,0.00010587027645669878,9.119365131482482e-05,0.9991162419319153,0.9990711212158203,3.6850555000000327,Easy
1,2,I.13.12,0.00017720749019645154,0.00020057887013535947,0.9842103719711304,0.9877372980117798,9.199546800000007,Medium
1,2,I.13.4,0.0016389157390221953,0.001340606831945479,0.9867047071456909,0.9849510788917542,9.190249699999981,Medium
1,2,I.14.3,0.0004484977980609983,0.0004275233077351004,0.9893895387649536,0.9882726669311523,9.157853799999998,Easy
1,2,I.14.4,9.091869287658483e-06,6.8182434915797785e-06,0.9992029070854187,0.9990372061729431,4.386463899999967,Easy
1,2,I.15.10,0.000818246160633862,0.0008581702713854611,0.9920414090156555,0.9932647943496704,9.143997600000034,Medium
1,2,I.15.3t,0.013964582234621048,0.015627562999725342,0.9656636714935303,0.9719903469085693,9.143094500000018,Hard
1,2,I.15.3x,0.009534504264593124,0.011390876956284046,0.9798520803451538,0.9840605854988098,9.10648100000003,Hard
1,2,I.16.6,0.00038116294308565557,0.00035251121153123677,0.9990144371986389,0.9989296197891235,3.062064200000009,Medium
1,2,I.18.12,0.011325678788125515,0.012393119744956493,0.7510472536087036,0.8038150072097778,9.109500200000014,Easy
1,2,I.18.16,0.009854646399617195,0.011035213246941566,0.40917378664016724,0.42471158504486084,9.16852160000002,Easy
1,2,I.18.4,0.00014783804363105446,0.0001554582267999649,0.999091386795044,0.9991673231124878,5.0857164999999895,Medium
1,2,I.24.6,4.576843639370054e-05,4.6248449507402256e-05,0.9729853868484497,0.9764836430549622,9.157852300000002,Medium
1,2,I.25.13,0.00036144405021332204,0.0002807696000672877,0.999104917049408,0.9988997578620911,3.6501154000000042,Easy
1,2,I.26.2,0.0005777578335255384,0.0006378800608217716,0.9970616698265076,0.9971349239349365,9.109699000000035,Easy
1,2,I.27.6,2.5616012862883508e-05,2.438511910440866e-05,0.9992220997810364,0.99920254945755,3.3883657000000085,Easy
1,2,I.29.16,0.07189207524061203,0.07224800437688828,0.47820329666137695,0.48964202404022217,9.182421099999942,Hard
1,2,I.29.4,0.0001526016421848908,0.0001094197214115411,0.9990491271018982,0.9986531734466553,1.710740699999974,Medium
1,2,I.30.3,0.07117419689893723,0.07110461592674255,0.5977718830108643,0.5858993530273438,9.112421799999993,Hard
1,2,I.30.5,0.00018053932581096888,0.00014395512698683888,0.9990872144699097,0.9989252090454102,2.2188637000000426,Easy
1,2,I.32.17,0.004728985019028187,3.5173757076263428,0.2276516556739807,0.9838660955429077,9.245999999999981,Hard
1,2,I.32.5,0.008965861983597279,0.011113141663372517,0.9255790114402771,0.957037627696991,9.09544249999999,Medium
1,2,I.34.10,0.0003755335637833923,0.0002566372277215123,0.9990296959877014,0.9987475872039795,7.1724625000000515,Medium
1,2,I.34.14,0.0001874094014056027,0.0001376982982037589,0.9990379214286804,0.9988234043121338,4.496379300000058,Hard
1,2,I.34.27,0.00010071960423374549,9.508754010312259e-05,0.9990785121917725,0.9991163015365601,1.798894099999984,Medium
1,2,I.34.8,0.0071326675824820995,0.007566531654447317,0.7722034454345703,0.8274526596069336,9.098776799999996,Medium
1,2,I.37.4,0.002825941191986203,0.0031335740350186825,0.996060848236084,0.9961268305778503,9.032019699999978,Hard
1,2,I.38.12,0.02734084241092205,0.03198936954140663,0.9967977404594421,0.9980378746986389,9.14273430000003,Medium
1,2,I.39.10,0.0001260519347852096,0.0001040590723278001,0.9990270733833313,0.9988529682159424,1.585754100000031,Medium
1,2,I.39.11,6.241485243663192e-05,5.5398639233317226e-05,0.9990816116333008,0.9989471435546875,5.340104099999962,Medium
1,2,I.39.22,0.00010045191447716206,9.887422493193299e-05,0.9958633184432983,0.9965953230857849,9.19520470000009,Hard
1,2,I.40.1,0.002692935988306999,0.003718269756063819,0.9563338160514832,0.9702181816101074,9.415974900000037,Hard
1,2,I.41.16,3.978533641202375e-05,3.6773515603272244e-05,0.9958374500274658,0.9958071708679199,9.321462599999904,Hard
1,2,I.43.16,8.608392818132415e-05,8.421161328442395e-05,0.9964767694473267,0.9970822930335999,9.1567096,Easy
1,2,I.43.31,2.6243258616887033e-05,2.3895305275800638e-05,0.9990017414093018,0.9988178610801697,6.422986599999945,Medium
1,2,I.43.43,0.00020426223636604846,0.0002073450741590932,0.9971086978912354,0.9967408180236816,9.180725499999994,Medium
1,2,I.44.4,0.00013342498277779669,0.0001466688554501161,0.9887210130691528,0.9902201890945435,9.135021199999983,Hard
1,2,I.47.23,4.883305882685818e-05,3.80482233595103e-05,0.9991017580032349,0.9988791346549988,5.424077900000043,Easy
1,2,I.50.26,0.006049092393368483,0.008421845734119415,0.963577151298523,0.9735726118087769,9.3266979,Hard
1,2,I.6.20a,1.4425424524233676e-05,1.3705271157959942e-05,0.9992955923080444,0.99920654296875,1.1770523999999796,Hard
1,2,I.6.20b,0.0037434606347233057,0.003921388648450375,0.7800907492637634,0.7973579168319702,9.115710899999954,Hard
1,2,I.6.20,1.0469932931300718e-05,1.134345347963972e-05,0.9991096258163452,0.9991097450256348,8.321188500000062,Hard
1,2,I.9.18,0.00010904864757321775,0.0001453165605198592,0.8160568475723267,0.8709568977355957,9.262752500000033,Hard
1,2,II.10.9,8.13883452792652e-05,5.720384433516301e-05,0.9990430474281311,0.9986732602119446,2.8651035999999976,Easy
1,2,II.11.17,0.0127289779484272,0.01875557191669941,0.8058061003684998,0.8786908984184265,9.25453559999994,Hard
1,2,II.11.20,0.0005534010706469417,0.00041476779733784497,0.7696571350097656,0.7361435890197754,9.124714899999958,Hard
1,2,II.11.27,0.0005345182144083083,0.0010055042803287506,0.9930605888366699,0.9949522018432617,9.171337900000026,Hard
1,2,II.11.28,0.0006636466714553535,0.0006304645794443786,0.9991154670715332,0.999178946018219,3.6897503000000142,Hard
1,2,II.11.3,3.284303966211155e-05,3.8057663914514706e-05,0.990236222743988,0.9935923218727112,9.124223499999971,Medium
1,2,II.13.17,0.00019378271827008575,0.00016051116108428687,0.9813644886016846,0.9852065443992615,9.163655100000028,Easy
1,2,II.13.23,0.00017228485376108438,0.0003017966519109905,0.997250497341156,0.9985858798027039,9.085044999999923,Hard
1,2,II.13.34,0.0006966599612496793,0.0007450442062690854,0.9908948540687561,0.9924484491348267,9.267357699999934,Hard
1,2,II.15.4,0.002961291465908289,0.0030885455198585987,0.946854293346405,0.9392133951187134,9.093357300000093,Easy
1,2,II.15.5,0.00017733103595674038,0.00019151606829836965,0.9967045187950134,0.9963599443435669,9.338044100000047,Easy
1,2,II.2.42,0.0002541281282901764,0.00027522078016772866,0.9858404397964478,0.9861088395118713,9.559034499999939,Easy
1,2,II.21.32,0.0003165419038850814,0.01106889359652996,0.6110605597496033,0.9621366262435913,9.933011299999976,Medium
1,2,II.24.17,6.54104514978826e-05,6.68417414999567e-05,0.9990074634552002,0.9990565180778503,1.8198330999999826,Hard
1,2,II.27.16,0.000144256729981862,0.0001472734147682786,0.9915114045143127,0.9907957315444946,9.112684299999955,Easy
1,2,II.27.18,3.969567842432298e-05,3.178443148499355e-05,0.9990710616111755,0.9989490509033203,4.552641600000015,Easy
1,2,II.3.24,5.8176947277388535e-06,5.583791335084243e-06,0.9971465468406677,0.9969283938407898,9.047987799999987,Easy
1,2,II.34.11,0.00010599313100101426,9.177661559078842e-05,0.9846410751342773,0.9856300950050354,9.173742400000037,Easy
