Grid Size,Function,train MSE,test MSE,R2 Score (Test),R2 Score (Train),time,Level
2,I.10.7,0.004800412803888321,0.0032738768495619297,0.9701737761497498,0.9605984091758728,9.77743240003474,Medium
2,I.11.19,0.12739983201026917,0.1351822465658188,0.577491283416748,0.6386140584945679,6.3860030001960695,Medium
2,I.12.11,0.02061699517071247,0.02016367018222809,0.8373786807060242,0.841047465801239,6.392605200177059,Medium
2,I.12.1,0.00035645440220832825,0.00027707000845111907,0.997314989566803,0.9968724846839905,6.442431200062856,Easy
2,I.12.2,0.00031299033435061574,0.00023629135102964938,0.7852992415428162,0.7501372694969177,6.3863890001084656,Medium
2,I.12.4,0.0001630791084608063,0.00016784784384071827,0.948555052280426,0.9549298286437988,6.4312915999908,Easy
2,I.12.5,0.0009058029972948134,0.0008519443217664957,0.9917440414428711,0.9920524954795837,6.388244500150904,Easy
2,I.13.12,0.0007231163326650858,0.0006331659387797117,0.9501570463180542,0.949960470199585,6.437727199867368,Medium
2,I.13.4,0.009427814744412899,0.00977244321256876,0.903083086013794,0.9134316444396973,6.502953500021249,Medium
2,I.14.3,0.0010343348840251565,0.0011128901969641447,0.972379744052887,0.9729541540145874,6.402393999975175,Easy
2,I.14.4,0.001958729699254036,0.0016357386484742165,0.808772087097168,0.7925742864608765,6.349374300101772,Easy
2,I.15.10,0.0015638801269233227,0.0013660801341757178,0.9873310923576355,0.9871273040771484,6.373327500186861,Medium
2,I.15.3t,0.03328798711299896,0.028990518301725388,0.9363030195236206,0.9332321882247925,6.377248799894005,Hard
2,I.15.3x,0.018755413591861725,0.016777651384472847,0.9703240990638733,0.968645453453064,6.461294099921361,Hard
2,I.16.6,0.00035295457928441465,0.0003493823460303247,0.9990231990814209,0.99900883436203,4.95387679990381,Medium
2,I.18.12,0.05754178389906883,0.04991436004638672,-0.0026788711547851562,0.0032531023025512695,6.393585100071505,Easy
2,I.18.16,0.01708383485674858,0.019279882311820984,-0.03224635124206543,0.002690434455871582,6.405416399938986,Easy
2,I.18.4,0.0001777154830051586,0.000162095035193488,0.9990525841712952,0.9989989995956421,1.3255072999745607,Medium
2,I.24.6,0.0011905980063602328,0.0011019407538697124,0.3563351631164551,0.38825660943984985,6.408703600056469,Medium
2,I.25.13,0.0016254575457423925,0.0013100518845021725,0.9958235025405884,0.9950519800186157,6.480419600149617,Easy
2,I.26.2,0.002329114591702819,0.002419521566480398,0.9888546466827393,0.9884500503540039,6.336577799869701,Easy
2,I.27.6,5.910252730245702e-05,6.050591036910191e-05,0.9980698823928833,0.9981600642204285,6.344170900061727,Easy
2,I.29.16,0.08348771929740906,0.07910647243261337,0.4286693334579468,0.40732520818710327,6.372226999839768,Hard
