Grid Size,Function,train MSE,test MSE,R2 Score,time,Level
2,I.10.7,0.001962855691090226,0.0010863400530070066,0.9901030659675598,1.3775964000087697,Medium
2,I.11.19,0.06532494723796844,0.07296869158744812,0.7719382047653198,5.59064280000166,Medium
2,I.12.11,0.011280895210802555,0.012087302282452583,0.9025151133537292,5.348112599996966,Medium
2,I.12.1,0.0014011302264407277,0.0010176985524594784,0.9901378154754639,0.23365190000913572,Easy
2,I.12.2,2.667882654350251e-06,1.6932468497543596e-05,0.9846146702766418,5.450196199992206,Medium
2,I.12.4,3.495823693810962e-05,3.110440957243554e-05,0.9904665946960449,2.2931672999984585,Easy
2,I.12.5,0.0010509704006835818,0.0008774165180511773,0.9914972186088562,0.46274229999107774,Easy
2,I.13.12,0.00013736553955823183,0.00012669365969486535,0.9900266528129578,0.9013564999913797,Medium
2,I.13.4,0.0008769884007051587,0.0008600854780524969,0.991470217704773,0.4217937999928836,Medium
2,I.14.3,0.0003958523739129305,0.00040031434036791325,0.990064799785614,0.6057315999933053,Easy
2,I.14.4,0.00010400764585938305,7.379980525001884e-05,0.9913723468780518,0.37836950000200886,Easy
2,I.15.10,0.0013773038517683744,0.0010379672748968005,0.990373969078064,0.34946559999661986,Medium
2,I.15.3t,0.009370255284011364,0.010051741264760494,0.9779146909713745,5.343019799998729,Hard
2,I.15.3x,0.005241041071712971,0.006999713368713856,0.9876191020011902,4.88831979999668,Hard
2,I.16.6,0.0037309089675545692,0.0035725312773138285,0.9900119304656982,0.21946689998731017,Medium
2,I.18.12,0.0020376318134367466,0.0021077129058539867,0.9576603174209595,4.7950816999946255,Easy
2,I.18.16,0.0018457197584211826,0.0022859741002321243,0.8776087760925293,4.8889215999952285,Easy
2,I.18.4,0.0015595373697578907,0.0015620553167536855,0.9908699989318848,0.43358460000308696,Medium
2,I.24.6,1.4376229955814779e-05,1.5943003745633177e-05,0.990687370300293,3.1225983999902382,Medium
2,I.25.13,0.003028275677934289,0.002283337526023388,0.9927206635475159,0.2988011999987066,Easy
2,I.26.2,0.002345469780266285,0.002136420691385865,0.99015873670578,0.26543990000209305,Easy
2,I.27.6,0.0003450482035987079,0.00031309074256569147,0.9900124073028564,0.6585228999902029,Easy
2,I.29.16,0.044801585376262665,0.05545838177204132,0.5994629859924316,5.090269699998316,Hard
2,I.29.4,0.0015185368247330189,0.001136259757913649,0.9901260137557983,0.34575480000057723,Medium
2,I.30.3,0.03249804675579071,0.035413093864917755,0.7996734380722046,4.85581639999873,Hard
2,I.30.5,0.001177466125227511,0.0011836403282359242,0.992495059967041,0.3874495000054594,Easy
2,I.32.17,0.00037095427978783846,3.3124828338623047,0.27264219522476196,5.298743100007414,Hard
2,I.32.5,0.0011647212086245418,0.001291352091357112,0.9913522601127625,4.998367099993629,Medium
2,I.34.10,0.0040813772939145565,0.0026209778152406216,0.9900904893875122,0.8858967999985907,Medium
2,I.34.14,0.001818827586248517,0.0013499275082722306,0.9905683398246765,0.7041821000020718,Hard
2,I.34.27,0.001165586756542325,0.0009318451629951596,0.9909697771072388,0.47245689999544993,Medium
2,I.34.8,0.0011293519055470824,0.0015498952707275748,0.953339159488678,5.104750200000126,Medium
2,I.37.4,0.007535828277468681,0.007887233048677444,0.9900851845741272,0.8042036999977427,Hard
2,I.38.12,0.16456416249275208,0.09625523537397385,0.9903643727302551,1.0934717000054661,Medium
2,I.39.10,0.000957076030317694,0.0009558635065332055,0.991063117980957,0.2966440000018338,Medium
2,I.39.11,0.0006096550496295094,0.0005586185725405812,0.9907394647598267,0.4413254999963101,Medium
2,I.39.22,0.00030770263401791453,0.0002249636163469404,0.9905880093574524,0.3513117999973474,Hard
