Main Network Layers,Function,train MSE,test MSE,R2 Score,time,Level
1,I.10.7,0.0017643163446336985,0.0009716555359773338,0.9911478757858276,4.504490499995882,Medium
1,I.11.19,0.10368058830499649,0.13081017136573792,0.5911561250686646,6.469536699994933,Medium
1,I.12.11,0.02148553356528282,0.022456977516412735,0.8188830018043518,6.56794350000564,Medium
1,I.12.1,0.0010492722503840923,0.0008281735936179757,0.991974413394928,0.21089330001268536,Easy
1,I.12.2,0.00045704239164479077,0.00044282121234573424,0.5976406335830688,5.940178999997443,Medium
1,I.12.4,2.5128229026449844e-05,3.078169538639486e-05,0.9905654788017273,3.2688292000093497,Easy
1,I.12.5,0.0010523400269448757,0.0008212909451685846,0.9920411109924316,0.26395180000690743,Easy
1,I.13.12,0.0021360840182751417,0.002096724696457386,0.8349454402923584,6.272059199982323,Medium
1,I.13.4,0.0009413975640200078,0.0009784996509552002,0.9902958869934082,2.3572974000126123,Medium
1,I.14.3,0.00033877696841955185,0.0003455039404798299,0.991425096988678,1.831839399994351,Easy
1,I.14.4,9.317177318735048e-05,8.184069884009659e-05,0.9904323220252991,2.45601940000779,Easy
1,I.15.10,0.0012166094966232777,0.0009525722125545144,0.9911659359931946,1.1920003999839537,Medium
1,I.15.3t,0.011594423092901707,0.012392017059028149,0.9727727174758911,6.15920009999536,Hard
1,I.15.3x,0.005137916654348373,0.005454332567751408,0.9903525114059448,2.167409999994561,Hard
1,I.16.6,0.0035554147325456142,0.0029761858750134706,0.9916791915893555,0.20976149998023175,Medium
1,I.18.12,0.001552667235955596,0.001743049593642354,0.9649856686592102,5.848961199983023,Easy
1,I.18.16,0.005222039297223091,0.005541838705539703,0.7032895088195801,5.953335400001379,Easy
1,I.18.4,0.0011719511821866035,0.0010919691994786263,0.993617594242096,0.20693889999529347,Medium
1,I.24.6,0.0003148436371702701,0.0003155729500576854,0.8156677484512329,5.922544600005494,Medium
1,I.25.13,0.003965382929891348,0.002940372796729207,0.9906259775161743,0.31947039999067783,Easy
1,I.26.2,0.0022837594151496887,0.00203150138258934,0.9906420707702637,0.9922445000265725,Easy
1,I.27.6,0.0002904674329329282,0.0003097152803093195,0.9901200532913208,0.5259695999848191,Easy
1,I.29.16,0.026719527319073677,0.02793850190937519,0.7982197999954224,6.066493699996499,Hard
1,I.29.4,0.0009406319004483521,0.0007349725929088891,0.9936131238937378,0.30738250000285916,Medium
1,I.30.3,0.0369441956281662,0.04091056063771248,0.7685750722885132,5.94014170000446,Hard
1,I.30.5,0.0013924541417509317,0.00122578046284616,0.9922278523445129,0.9564904000144452,Easy
1,I.32.17,0.00877393502742052,3.158444881439209,0.3064660429954529,6.316955999995116,Hard
1,I.32.5,0.001376405474729836,0.006415846757590771,0.9570351839065552,5.965518799988786,Medium
1,I.34.10,0.0038391975685954094,0.0026273629628121853,0.9900663495063782,0.47252920002210885,Medium
1,I.34.14,0.0019566076807677746,0.0014311549020931125,0.9900007843971252,0.3514599000045564,Hard
1,I.34.27,0.0009363769204355776,0.0008204468758776784,0.9920492768287659,0.2542461999983061,Medium
1,I.34.8,0.007495060097426176,0.009564719162881374,0.7120464444160461,5.974671400006628,Medium
1,I.37.4,0.006771359592676163,0.00706498185172677,0.9911187887191772,0.5116644999943674,Hard
1,I.38.12,0.2134912759065628,0.0849844366312027,0.9914926886558533,0.4327691000071354,Medium
1,I.39.10,0.00121586536988616,0.0009703355026431382,0.9909278154373169,0.18277369998395443,Medium
1,I.39.11,0.0005936798406764865,0.00048190171946771443,0.9920112490653992,0.9914629000122659,Medium
1,I.39.22,0.0002562153968028724,0.00018940599693451077,0.9920756816864014,1.3866769000014756,Hard
1,I.40.1,0.002136346884071827,0.002214303007349372,0.9739959239959717,6.350766399991699,Hard
1,I.41.16,8.670786337461323e-05,8.701399201527238e-05,0.990150511264801,1.0782273999939207,Hard
1,I.43.16,0.00030714881722815335,0.00023247484932653606,0.9902737736701965,1.615428699995391,Easy
1,I.43.31,0.0002559567801654339,0.0002364144311286509,0.9901233315467834,2.2262422000057995,Medium
1,I.43.43,0.0007111341692507267,0.0006616408354602754,0.9907737970352173,0.8363718999898992,Medium
1,I.44.4,0.0013296897523105145,0.0017486094729974866,0.865530252456665,6.257128600002034,Hard
1,I.47.23,0.00041015836177393794,0.0004027499526273459,0.9904918074607849,0.6557556000188924,Easy
1,I.50.26,0.004384172614663839,0.006237697321921587,0.9730231761932373,5.991613499994855,Hard
1,I.6.20a,0.0002075886441161856,0.0001882176147773862,0.9903263449668884,1.0234403999929782,Hard
1,I.6.20b,0.00019604280532803386,0.0002161957381758839,0.9878758788108826,5.991121300001396,Hard
1,I.6.20,0.0007403569179587066,0.0007454745355062187,0.9414854049682617,5.805957800010219,Hard
