Layers,Nodes,Function,train MSE,test MSE,R2 Score,time,Level
1,2,I.10.7,0.0012150662951171398,0.001060070120729506,0.990342378616333,2.930836300365627,Medium
1,2,I.11.19,0.08659881353378296,0.09641104191541672,0.6986697912216187,3.328769899904728,Medium
1,2,I.12.11,0.020475240424275398,0.02031666226685047,0.8361448049545288,3.2930662999860942,Medium
1,2,I.12.1,0.001003975048661232,0.0008670782553963363,0.9915974140167236,2.614122500177473,Easy
1,2,I.12.2,0.0005626308266073465,0.000676945666782558,0.3849087357521057,3.3003036002628505,Medium
1,2,I.12.4,9.174484148388728e-05,9.827227040659636e-05,0.9698798060417175,3.2504394999705255,Easy
1,2,I.12.5,0.0009488063515163958,0.0009815179510042071,0.9904884099960327,1.1840591998770833,Easy
1,2,I.13.12,0.0004472564032766968,0.0004137338837608695,0.9674307703971863,3.29094299999997,Medium
1,2,I.13.4,0.0012429547496140003,0.0012857511173933744,0.9872487187385559,3.2682650997303426,Medium
1,2,I.14.3,0.00039408652810379863,0.0003844670136459172,0.9904581308364868,2.6648658998310566,Easy
1,2,I.14.4,8.828134014038369e-05,8.417854405706748e-05,0.9901590347290039,0.8477525999769568,Easy
1,2,I.15.10,0.0022666517179459333,0.0023654617834836245,0.9780628681182861,3.2901980001479387,Medium
1,2,I.15.3t,0.013819548301398754,0.013734380714595318,0.9698233008384705,3.3334149001166224,Hard
1,2,I.15.3x,0.017855213955044746,0.019338903948664665,0.9657938480377197,3.307029699906707,Hard
1,2,I.16.6,0.0035419422201812267,0.0034404501784592867,0.9903812408447266,0.23212899966165423,Medium
1,2,I.18.12,0.017409561201930046,0.01608339324593544,0.6769170761108398,3.271087000146508,Easy
1,2,I.18.16,0.014869689010083675,0.01866093836724758,0.0008919239044189453,3.3176902001723647,Easy
1,2,I.18.4,0.0017097367672249675,0.0016827735817059875,0.9901644587516785,0.871085099875927,Medium
1,2,I.24.6,0.0003662406525108963,0.00034957396565005183,0.7958071231842041,3.3177139996550977,Medium
1,2,I.25.13,0.00393383065238595,0.0031031949911266565,0.9901069402694702,0.701282599940896,Easy
1,2,I.26.2,0.0023095915094017982,0.002151632448658347,0.990088701248169,1.7800961998291314,Easy
1,2,I.27.6,0.00030483712907880545,0.0003127617237623781,0.9900228977203369,1.0303509999066591,Easy
1,2,I.29.16,0.07068372517824173,0.07218905538320541,0.4786289930343628,3.332957400009036,Hard
1,2,I.29.4,0.0008285563089884818,0.0007705354946665466,0.9933041334152222,0.10398670006543398,Medium
1,2,I.30.3,0.06625556200742722,0.07177438586950302,0.5939830541610718,3.267077900003642,Hard
1,2,I.30.5,0.0015162579948082566,0.0015323552070185542,0.9902839660644531,0.7004292998462915,Easy
1,2,I.32.17,0.007193378638476133,2.536328077316284,0.4430709481239319,3.3515863004140556,Hard
