Function,R2 Score,time
I.12.1,0.9901162385940552,1.9301514000399038
I.12.4,0.9511018395423889,5.479914000025019
I.12.5,0.9901394844055176,1.146277999971062
I.14.3,0.9900006055831909,2.8271026000147685
I.14.4,0.9901212453842163,0.7985742000164464
I.18.12,0.7546648979187012,5.450739799998701
I.25.13,0.990152895450592,0.9367084000259638
I.26.2,0.9900981783866882,3.19330520008225
I.27.6,0.990060567855835,2.5396517999470234
I.30.5,0.9901754856109619,1.5064681000076234
I.43.16,0.9901372790336609,1.6605767000000924
I.47.23,0.9900783896446228,1.9633662000996992
II.10.9,0.9900535345077515,1.3595411001006141
II.11.17,0.8201315999031067,5.469752100063488
II.15.4,0.9841139316558838,5.386657700059004
II.15.5,0.9900193810462952,3.790396999916993
II.2.42,0.9754229187965393,5.419242299976759
II.27.16,0.9825113415718079,5.662550000008196
II.27.18,0.4830836057662964,5.376826699939556
II.3.24,0.9900389313697815,1.8262471999041736
II.34.11,0.9900060892105103,1.1092773000709713
II.34.29b,0.9900153875350952,4.4099209000123665
II.38.14,0.9904093742370605,0.4819017000263557
II.38.3,0.9900006651878357,2.1916562999831513
II.4.23,0.9903478622436523,1.0210973999928683
II.8.31,0.9903265833854675,0.7788869999349117
III.12.43,0.9901041984558105,1.2284611000213772
III.15.27,0.9637545347213745,5.463490800000727
III.7.38,0.9900553226470947,1.3819614000385627
