Function,R2 Score,KAN time
I.12.1,-0.009762763977050781,9.534974400070496
I.12.4,0.973913848400116,9.210373900015838
I.12.5,0.9900678396224976,3.572691800072789
I.14.3,0.9900357127189636,3.316246600006707
I.14.4,0.9901982545852661,4.24872030003462
I.18.12,0.7881617546081543,9.235000499989837
I.25.13,0.9903540015220642,1.9211460000369698
I.26.2,0.9423162937164307,8.978655599988997
I.27.6,0.9902365207672119,3.802320099901408
I.30.5,0.9900221228599548,2.452049000072293
I.43.16,0.9900043606758118,2.73480269999709
I.47.23,0.9900360107421875,1.593087499961257
II.10.9,0.9901244044303894,2.2949584999587387
II.11.17,0.8220625519752502,9.583173400023952
II.15.4,0.6542723178863525,9.129783399985172
II.15.5,0.974210262298584,9.098076800000854
II.2.42,0.7098385691642761,9.270258000004105
II.27.16,0.9900901913642883,5.355171600007452
II.27.18,0.990056574344635,4.300730700022541
II.3.24,0.9845477342605591,9.030737100052647
II.34.11,0.9902031421661377,3.58218929998111
II.34.29b,0.9387339949607849,9.206903500016779
II.38.14,0.9900478720664978,4.066471499972977
II.38.3,-0.0010513067245483398,9.335987100028433
II.4.23,0.9592097401618958,9.03361279994715
II.8.31,0.99005526304245,3.565699000027962
III.12.43,0.9903145432472229,4.458322100108489
III.15.27,0.990231454372406,1.862610499956645
III.7.38,0.9759595990180969,9.071769900037907
