Function,R2 Score,time
I.12.1,0.9902616143226624,1.1041970000369474
I.12.4,0.9817318916320801,2.4264414999634027
I.12.5,0.9900921583175659,0.5200891999993473
I.14.3,0.9900026321411133,1.874371899990365
I.14.4,0.9897163510322571,2.4422027999535203
I.18.12,0.9229510426521301,2.405144500080496
I.25.13,0.9901027679443359,0.48939720005728304
I.26.2,0.990097165107727,1.1303818000014871
I.27.6,0.9900071620941162,1.0067465000320226
I.30.5,0.9901965856552124,0.23297499993350357
I.43.16,0.9900302290916443,1.9988589000422508
I.47.23,0.990010142326355,0.8730244000907987
II.10.9,0.990104079246521,0.4335472999373451
II.11.17,0.8784121870994568,2.403721099952236
II.15.4,0.9844807982444763,2.407895299955271
II.15.5,0.9900069832801819,2.0208371999906376
II.2.42,0.9696951508522034,2.4016581000760198
II.27.16,0.9834805130958557,2.513443100033328
II.27.18,0.9900786876678467,1.0902240000432357
II.3.24,0.9813174605369568,2.3912456000689417
II.34.11,0.9900302886962891,2.385045800008811
II.34.29b,0.9725725054740906,2.3570676000090316
II.38.14,0.9901690483093262,0.7961064999690279
II.38.3,0.9900090098381042,1.2628892000066116
II.4.23,0.9877570867538452,2.381204399978742
II.8.31,0.990001380443573,0.43993570003658533
III.12.43,0.9900975823402405,0.3506766998907551
III.15.27,0.9900012612342834,1.0961593000683933
III.7.38,0.9901248216629028,0.7659864999586716
