Function,R2 Score,KAN time
I.12.1,0.990063488483429,4.491250499966554
I.12.4,0.990006148815155,2.459491099929437
I.12.5,0.9900360107421875,1.523907299968414
I.14.3,0.9900104403495789,2.7722596999956295
I.14.4,0.9901224374771118,1.5661089000059292
I.18.12,0.9170833230018616,6.70000249997247
I.25.13,0.9900133609771729,1.525814399938099
I.26.2,0.9900335669517517,1.299558600061573
I.27.6,0.9900127053260803,3.8990089999279007
I.30.5,0.9901428818702698,1.1233499000081792
I.43.16,0.9900719523429871,2.3619395999703556
I.47.23,0.9900923371315002,3.2176849000388756
II.10.9,0.9901612401008606,2.5333354000467807
II.11.17,0.8717150688171387,7.39582109998446
II.15.4,0.9901275634765625,2.6161832999205217
II.15.5,0.9900127053260803,3.176172800012864
II.2.42,0.9900054931640625,5.835005900007673
II.27.16,0.9901441335678101,2.556369800004177
II.27.18,0.9901432394981384,2.109524399973452
II.3.24,0.990036129951477,2.380632400047034
II.34.11,0.9900702238082886,5.291379400063306
II.34.29b,0.9872105121612549,7.261462799971923
II.38.14,0.9900745749473572,1.9991468000225723
II.38.3,0.990013837814331,3.7252122999634594
II.4.23,0.9902001023292542,4.021903599961661
II.8.31,0.990312933921814,0.80674590007402
III.12.43,0.9900637865066528,1.314062500023283
III.15.27,0.9827954173088074,6.6727668000385165
III.7.38,0.9900137186050415,2.915835399995558
